DATETIME,ADDRESS,BALANCE,DECIMALS,NAME
2022-05-20 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2471780.14918501,18,Staked Aave
2022-05-19 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2471786.15688167,18,Staked Aave
2022-05-18 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2470087.13330788,18,Staked Aave
2022-05-17 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2471270.50452822,18,Staked Aave
2022-05-16 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2469760.18127711,18,Staked Aave
2022-05-15 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2468166.01016609,18,Staked Aave
2022-05-14 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2467088.56021573,18,Staked Aave
2022-05-13 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2476815.24607634,18,Staked Aave
2022-05-12 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2504020.14648419,18,Staked Aave
2022-05-11 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2656348.89533501,18,Staked Aave
2022-05-10 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2898416.38195908,18,Staked Aave
2022-05-09 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2882184.11808882,18,Staked Aave
2022-05-08 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2877377.76234818,18,Staked Aave
2022-05-07 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2876100.84392175,18,Staked Aave
2022-05-06 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2873738.08156396,18,Staked Aave
2022-05-05 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2873738.59914954,18,Staked Aave
2022-05-04 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2870908.7437501,18,Staked Aave
2022-05-03 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2870005.97796032,18,Staked Aave
2022-05-02 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2866076.76087927,18,Staked Aave
2022-05-01 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2865769.06242903,18,Staked Aave
2022-04-30 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2869569.94965089,18,Staked Aave
2022-04-29 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2869669.22793117,18,Staked Aave
2022-04-28 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2867382.50483963,18,Staked Aave
2022-04-27 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2867559.89430094,18,Staked Aave
2022-04-26 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2866057.85641328,18,Staked Aave
2022-04-25 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2853703.24346602,18,Staked Aave
2022-04-24 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2850113.03182179,18,Staked Aave
2022-04-23 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2848290.27803053,18,Staked Aave
2022-04-22 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2887126.03661885,18,Staked Aave
2022-04-21 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2892783.03745793,18,Staked Aave
2022-04-20 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2757967.5473462,18,Staked Aave
2022-04-19 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2885137.16223356,18,Staked Aave
2022-04-18 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2884374.28901058,18,Staked Aave
2022-04-17 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2713438.45475522,18,Staked Aave
2022-04-16 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2883798.32965845,18,Staked Aave
2022-04-15 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2883672.00472555,18,Staked Aave
2022-04-14 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2856943.55994574,18,Staked Aave
2022-04-13 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2847081.10785917,18,Staked Aave
2022-04-12 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2841004.33651799,18,Staked Aave
2022-04-11 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2839655.38800949,18,Staked Aave
2022-04-10 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2834778.91161457,18,Staked Aave
2022-04-09 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2832209.72302417,18,Staked Aave
2022-04-08 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2832475.33962867,18,Staked Aave
2022-04-07 00:00:00.000,0x4da27a545c0c5b758a6ba100e3a049001de870f5,2858155.97157982,18,Staked Aave
